Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,FUSHË KOSOVË,443.82,396.61
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,292.19,261.64
Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË,198.7,214.13
Person Fizik,Person fizik,PARTESH,292.9,385.79
Industria perpunuese,Individual,SUHAREKË,270.5,241.98
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,MITROVICË,144.9,152.7
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FUSHË KOSOVË,172.63,212.89
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GRAÇANICË,740.0,481.44
Aktivitetet e tjera sherbyese,Parti Politike,PRISHTINË,425.73,387.99
Person Fizik,Person fizik,OBILIQ,433.62,340.63
Ndertimtaria,Ndërmarrje shoq.,PODUJEVË,337.56,414.62
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,VITI,662.5,200.0
Transporti dhe magazinimi,Individual,FERIZAJ,192.52,250.0
Person Fizik,Person fizik,GJAKOVË,350.73,289.38
"Aktivitetet profesionale, shkencore dhe teknike",Individual,MALISHEVË,250.28,210.12
Industria nxjerrese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,270.94,301.91
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VUSHTRRI,130.0,200.0
Ndertimtaria,Individual,MITROVICË,316.6,315.13
"Artet, Argetimi dhe rekreacioni",Individual,MITROVICË,253.62,202.87
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SKENDERAJ,540.11,354.32
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJAKOVË,278.82,227.92
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,FUSHË KOSOVË,450.98,415.21
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PEJË,232.11,208.91
Bujqesia;Pylltaria dhe Peshkimi,Individual,GLLOGOC,335.78,190.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,FERIZAJ,301.76,414.25
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,GJILAN,194.0,181.71
Industria perpunuese,Individual,MAMUSHË,198.11,185.0
